Club_ID,Degree,Degree Type
3884,2,In-Degree
36667,2,In-Degree
1028,4,In-Degree
379,7,In-Degree
585,7,In-Degree
70142,21,In-Degree
2749,12,In-Degree
4285,2,In-Degree
12020,9,In-Degree
141,10,In-Degree
2446,5,In-Degree
18291,2,In-Degree
71042,7,In-Degree
5073,7,In-Degree
2726,6,In-Degree
31619,1,In-Degree
410,6,In-Degree
29397,8,In-Degree
55927,9,In-Degree
829,12,In-Degree
8054,6,In-Degree
8303,17,In-Degree
55337,20,In-Degree
82886,1,In-Degree
45351,8,In-Degree
3706,13,In-Degree
1876,20,In-Degree
13,8,In-Degree
11449,15,In-Degree
1751,12,In-Degree
1039,8,In-Degree
2454,3,In-Degree
3936,12,In-Degree
1150,2,In-Degree
3211,14,In-Degree
12524,15,In-Degree
248,4,In-Degree
34615,3,In-Degree
932,4,In-Degree
16704,7,In-Degree
1078,9,In-Degree
355,8,In-Degree
2,7,In-Degree
75380,1,In-Degree
1386,12,In-Degree
22294,12,In-Degree
53561,16,In-Degree
40965,21,In-Degree
3466,7,In-Degree
1385,19,In-Degree
8322,13,In-Degree
30082,2,In-Degree
23170,2,In-Degree
47317,7,In-Degree
76894,1,In-Degree
2773,11,In-Degree
37421,4,In-Degree
11512,3,In-Degree
6574,9,In-Degree
430,9,In-Degree
8984,5,In-Degree
28536,13,In-Degree
4436,6,In-Degree
76364,11,In-Degree
24718,10,In-Degree
8397,10,In-Degree
64534,5,In-Degree
65024,6,In-Degree
2697,4,In-Degree
4294,9,In-Degree
3268,8,In-Degree
101,8,In-Degree
23187,8,In-Degree
49885,14,In-Degree
45642,3,In-Degree
1084,5,In-Degree
2425,4,In-Degree
4829,2,In-Degree
12485,15,In-Degree
23298,5,In-Degree
107,17,In-Degree
1337,3,In-Degree
33849,2,In-Degree
54610,1,In-Degree
7236,4,In-Degree
29044,7,In-Degree
67092,1,In-Degree
3057,8,In-Degree
3948,7,In-Degree
4136,6,In-Degree
60563,1,In-Degree
1690,3,In-Degree
54752,2,In-Degree
37144,1,In-Degree
7042,8,In-Degree
520,7,In-Degree
40317,1,In-Degree
82,4,In-Degree
317,5,In-Degree
20685,6,In-Degree
11436,6,In-Degree
14487,5,In-Degree
57082,1,In-Degree
1032,5,In-Degree
2455,7,In-Degree
26308,10,In-Degree
27870,1,In-Degree
834,8,In-Degree
5114,12,In-Degree
18604,1,In-Degree
438,8,In-Degree
92,15,In-Degree
117,10,In-Degree
1481,9,In-Degree
1484,8,In-Degree
36898,4,In-Degree
18945,13,In-Degree
1750,6,In-Degree
15818,6,In-Degree
998,6,In-Degree
12378,17,In-Degree
80,4,In-Degree
7006,4,In-Degree
1159,7,In-Degree
53251,7,In-Degree
840,10,In-Degree
46717,7,In-Degree
40090,7,In-Degree
18760,9,In-Degree
65880,1,In-Degree
27490,7,In-Degree
8235,9,In-Degree
3336,10,In-Degree
1465,12,In-Degree
2641,9,In-Degree
4816,13,In-Degree
24447,2,In-Degree
18588,1,In-Degree
364,17,In-Degree
9572,12,In-Degree
649,5,In-Degree
30660,12,In-Degree
79,11,In-Degree
89,10,In-Degree
6338,6,In-Degree
54746,4,In-Degree
4242,15,In-Degree
17570,1,In-Degree
4544,10,In-Degree
21474,11,In-Degree
31360,4,In-Degree
31057,3,In-Degree
625,6,In-Degree
322,12,In-Degree
42208,7,In-Degree
13653,11,In-Degree
9330,6,In-Degree
12570,13,In-Degree
51573,5,In-Degree
29686,1,In-Degree
3329,6,In-Degree
4974,4,In-Degree
28840,2,In-Degree
55446,1,In-Degree
1944,9,In-Degree
12514,20,In-Degree
76189,6,In-Degree
9439,8,In-Degree
4553,10,In-Degree
64189,2,In-Degree
790,4,In-Degree
433,11,In-Degree
2906,10,In-Degree
40014,1,In-Degree
2573,9,In-Degree
6807,10,In-Degree
850,7,In-Degree
1978,9,In-Degree
73042,3,In-Degree
11836,3,In-Degree
48,7,In-Degree
66,8,In-Degree
47549,1,In-Degree
25140,7,In-Degree
37860,1,In-Degree
30577,3,In-Degree
78,8,In-Degree
4882,5,In-Degree
48428,7,In-Degree
55912,6,In-Degree
23396,17,In-Degree
63248,6,In-Degree
94857,1,In-Degree
1111,6,In-Degree
5377,8,In-Degree
9660,7,In-Degree
12544,1,In-Degree
1804,1,In-Degree
866,6,In-Degree
1444,4,In-Degree
2402,12,In-Degree
19806,10,In-Degree
12563,12,In-Degree
36630,4,In-Degree
288,7,In-Degree
11831,6,In-Degree
9073,15,In-Degree
20058,3,In-Degree
6311,9,In-Degree
36577,5,In-Degree
2063,5,In-Degree
830,5,In-Degree
16387,6,In-Degree
2154,10,In-Degree
12454,8,In-Degree
36330,9,In-Degree
30688,10,In-Degree
23400,6,In-Degree
853,17,In-Degree
48712,17,In-Degree
60018,3,In-Degree
45189,11,In-Degree
895,8,In-Degree
103822,1,In-Degree
10191,2,In-Degree
303,6,In-Degree
10999,8,In-Degree
593,9,In-Degree
51572,10,In-Degree
2788,4,In-Degree
4192,7,In-Degree
46865,11,In-Degree
48742,5,In-Degree
4330,3,In-Degree
6266,18,In-Degree
69518,6,In-Degree
69584,9,In-Degree
61431,7,In-Degree
51549,6,In-Degree
1070,8,In-Degree
25184,13,In-Degree
12540,13,In-Degree
33470,7,In-Degree
4143,8,In-Degree
21374,4,In-Degree
2433,5,In-Degree
5623,6,In-Degree
42918,10,In-Degree
25380,9,In-Degree
9109,6,In-Degree
21807,4,In-Degree
5840,4,In-Degree
129,7,In-Degree
94,4,In-Degree
922,8,In-Degree
78419,4,In-Degree
293,5,In-Degree
35623,1,In-Degree
56852,7,In-Degree
3698,15,In-Degree
1241,5,In-Degree
67510,7,In-Degree
1,9,In-Degree
1773,11,In-Degree
941,3,In-Degree
5544,5,In-Degree
715,3,In-Degree
6541,2,In-Degree
9914,9,In-Degree
55195,4,In-Degree
57989,1,In-Degree
40039,10,In-Degree
68748,5,In-Degree
12388,10,In-Degree
1381,8,In-Degree
24283,1,In-Degree
39869,10,In-Degree
44286,15,In-Degree
45418,18,In-Degree
8436,2,In-Degree
11379,3,In-Degree
3569,3,In-Degree
19964,9,In-Degree
370,8,In-Degree
1519,7,In-Degree
2575,6,In-Degree
39805,11,In-Degree
31788,4,In-Degree
44482,4,In-Degree
26048,4,In-Degree
19585,4,In-Degree
49143,3,In-Degree
1910,9,In-Degree
2721,6,In-Degree
58049,19,In-Degree
34884,2,In-Degree
37381,7,In-Degree
9441,19,In-Degree
17846,4,In-Degree
9823,1,In-Degree
40916,2,In-Degree
26154,8,In-Degree
26144,2,In-Degree
614,9,In-Degree
23826,6,In-Degree
380,8,In-Degree
5622,10,In-Degree
11004,14,In-Degree
46298,6,In-Degree
80247,1,In-Degree
6692,5,In-Degree
1408,7,In-Degree
11713,17,In-Degree
61628,2,In-Degree
2655,10,In-Degree
49939,8,In-Degree
704,22,In-Degree
1210,10,In-Degree
13484,13,In-Degree
1104,26,In-Degree
54516,2,In-Degree
10616,8,In-Degree
10118,13,In-Degree
19168,13,In-Degree
46738,3,In-Degree
3134,9,In-Degree
6304,6,In-Degree
7945,3,In-Degree
22342,6,In-Degree
37387,12,In-Degree
921,8,In-Degree
2505,6,In-Degree
5225,1,In-Degree
46807,1,In-Degree
2977,12,In-Degree
52778,6,In-Degree
27,4,In-Degree
60435,13,In-Degree
26237,16,In-Degree
54537,6,In-Degree
50258,6,In-Degree
5747,12,In-Degree
130,13,In-Degree
60738,3,In-Degree
62794,9,In-Degree
4033,16,In-Degree
29251,9,In-Degree
1074,8,In-Degree
54498,11,In-Degree
9352,14,In-Degree
2919,8,In-Degree
27319,7,In-Degree
36070,6,In-Degree
27613,3,In-Degree
19716,3,In-Degree
8356,8,In-Degree
38545,7,In-Degree
58111,6,In-Degree
78099,4,In-Degree
12535,6,In-Degree
8582,11,In-Degree
354,1,In-Degree
64366,1,In-Degree
41274,5,In-Degree
2727,4,In-Degree
3318,13,In-Degree
10207,12,In-Degree
38993,1,In-Degree
55017,1,In-Degree
1068,14,In-Degree
81,7,In-Degree
26565,3,In-Degree
34625,3,In-Degree
21783,15,In-Degree
54654,6,In-Degree
77612,6,In-Degree
1132,4,In-Degree
699,9,In-Degree
9972,11,In-Degree
6322,13,In-Degree
4883,5,In-Degree
29988,9,In-Degree
21395,11,In-Degree
10604,10,In-Degree
2497,7,In-Degree
1536,24,In-Degree
8386,14,In-Degree
1391,7,In-Degree
14585,7,In-Degree
6,14,In-Degree
708,7,In-Degree
5378,13,In-Degree
6056,8,In-Degree
22,2,In-Degree
24830,4,In-Degree
23158,2,In-Degree
1293,5,In-Degree
6390,4,In-Degree
46337,14,In-Degree
56447,13,In-Degree
3023,12,In-Degree
3194,17,In-Degree
19132,12,In-Degree
8886,21,In-Degree
24832,2,In-Degree
30484,9,In-Degree
5818,4,In-Degree
5776,6,In-Degree
432,10,In-Degree
1059,8,In-Degree
22767,1,In-Degree
37474,10,In-Degree
3173,8,In-Degree
45316,19,In-Degree
48913,8,In-Degree
1177,4,In-Degree
23297,6,In-Degree
7789,13,In-Degree
27484,15,In-Degree
15374,8,In-Degree
3265,15,In-Degree
1533,10,In-Degree
4103,8,In-Degree
43485,2,In-Degree
51513,4,In-Degree
40352,15,In-Degree
27561,12,In-Degree
22258,8,In-Degree
46145,15,In-Degree
49126,6,In-Degree
17979,10,In-Degree
369,6,In-Degree
5866,12,In-Degree
1842,12,In-Degree
1894,5,In-Degree
5733,3,In-Degree
3840,15,In-Degree
3455,8,In-Degree
10004,11,In-Degree
1041,8,In-Degree
273,9,In-Degree
336,6,In-Degree
9840,6,In-Degree
4630,2,In-Degree
4082,8,In-Degree
61633,4,In-Degree
8907,8,In-Degree
32234,7,In-Degree
51932,5,In-Degree
51820,11,In-Degree
3785,9,In-Degree
35079,17,In-Degree
13025,3,In-Degree
6216,5,In-Degree
11338,3,In-Degree
36253,3,In-Degree
800,8,In-Degree
7977,16,In-Degree
24996,3,In-Degree
4096,14,In-Degree
22045,18,In-Degree
66375,2,In-Degree
5174,16,In-Degree
2912,4,In-Degree
7523,9,In-Degree
30062,9,In-Degree
5223,12,In-Degree
6025,4,In-Degree
35065,3,In-Degree
2976,9,In-Degree
43137,2,In-Degree
51864,9,In-Degree
4362,6,In-Degree
35940,3,In-Degree
2282,9,In-Degree
8668,13,In-Degree
22318,13,In-Degree
30545,11,In-Degree
44006,11,In-Degree
25990,3,In-Degree
8468,4,In-Degree
28887,13,In-Degree
88,14,In-Degree
22475,5,In-Degree
46312,4,In-Degree
18565,12,In-Degree
65242,1,In-Degree
50208,10,In-Degree
73172,10,In-Degree
10625,5,In-Degree
984,7,In-Degree
5551,5,In-Degree
1076,11,In-Degree
42192,12,In-Degree
25087,1,In-Degree
8961,13,In-Degree
54863,5,In-Degree
4907,1,In-Degree
20132,11,In-Degree
7788,10,In-Degree
3348,16,In-Degree
61052,4,In-Degree
9083,8,In-Degree
39854,6,In-Degree
54596,5,In-Degree
44593,3,In-Degree
2838,4,In-Degree
3267,10,In-Degree
121,11,In-Degree
615,2,In-Degree
32085,1,In-Degree
588,22,In-Degree
12457,10,In-Degree
68110,3,In-Degree
45935,7,In-Degree
8969,7,In-Degree
3718,4,In-Degree
15309,10,In-Degree
3834,6,In-Degree
37029,9,In-Degree
72529,1,In-Degree
12439,14,In-Degree
3691,13,In-Degree
2737,13,In-Degree
12052,13,In-Degree
67241,10,In-Degree
6673,20,In-Degree
25817,12,In-Degree
2432,19,In-Degree
47794,7,In-Degree
3899,16,In-Degree
68028,9,In-Degree
3325,7,In-Degree
1109,2,In-Degree
2925,8,In-Degree
1220,10,In-Degree
1219,7,In-Degree
5358,8,In-Degree
111,10,In-Degree
5560,14,In-Degree
12567,13,In-Degree
47093,13,In-Degree
60556,14,In-Degree
22034,3,In-Degree
57886,3,In-Degree
2423,7,In-Degree
29955,7,In-Degree
11085,17,In-Degree
34504,12,In-Degree
72280,1,In-Degree
10816,17,In-Degree
9,24,In-Degree
69246,4,In-Degree
33438,23,In-Degree
37773,7,In-Degree
981,8,In-Degree
546,5,In-Degree
42266,1,In-Degree
30483,12,In-Degree
3739,11,In-Degree
29053,11,In-Degree
24238,2,In-Degree
26433,4,In-Degree
30354,3,In-Degree
41133,6,In-Degree
11344,6,In-Degree
10531,11,In-Degree
37760,9,In-Degree
13629,6,In-Degree
112829,2,In-Degree
503,4,In-Degree
12469,12,In-Degree
1918,10,In-Degree
2698,12,In-Degree
3609,12,In-Degree
675,8,In-Degree
3392,15,In-Degree
63681,14,In-Degree
67107,5,In-Degree
833,7,In-Degree
1555,8,In-Degree
20699,9,In-Degree
75745,7,In-Degree
50907,22,In-Degree
3217,25,In-Degree
22089,14,In-Degree
50820,15,In-Degree
50399,10,In-Degree
45274,7,In-Degree
45299,8,In-Degree
56169,4,In-Degree
21,11,In-Degree
56,15,In-Degree
1180,13,In-Degree
10480,15,In-Degree
3714,15,In-Degree
37610,2,In-Degree
50597,4,In-Degree
5495,7,In-Degree
29493,7,In-Degree
43699,1,In-Degree
13702,10,In-Degree
7077,13,In-Degree
33753,2,In-Degree
2049,7,In-Degree
14977,16,In-Degree
30039,2,In-Degree
15378,2,In-Degree
14675,2,In-Degree
1167,7,In-Degree
6764,11,In-Degree
2531,11,In-Degree
23664,10,In-Degree
3886,15,In-Degree
6423,7,In-Degree
10694,11,In-Degree
40402,7,In-Degree
34709,2,In-Degree
41943,1,In-Degree
19794,5,In-Degree
1234,5,In-Degree
1775,11,In-Degree
333,5,In-Degree
19517,5,In-Degree
40812,10,In-Degree
33966,18,In-Degree
1442,3,In-Degree
66634,3,In-Degree
4585,4,In-Degree
5219,25,In-Degree
553,16,In-Degree
1418,7,In-Degree
14602,5,In-Degree
22257,8,In-Degree
42546,29,In-Degree
3649,17,In-Degree
1058,2,In-Degree
73773,2,In-Degree
7124,7,In-Degree
63433,5,In-Degree
21803,5,In-Degree
9855,7,In-Degree
2734,7,In-Degree
61245,1,In-Degree
1321,7,In-Degree
4590,10,In-Degree
63280,1,In-Degree
2703,15,In-Degree
2589,8,In-Degree
93,10,In-Degree
64877,1,In-Degree
5472,6,In-Degree
2524,3,In-Degree
33714,2,In-Degree
2424,14,In-Degree
253,18,In-Degree
17575,10,In-Degree
21309,9,In-Degree
36045,5,In-Degree
11685,5,In-Degree
33328,19,In-Degree
788,18,In-Degree
902,14,In-Degree
12931,24,In-Degree
22365,6,In-Degree
255,12,In-Degree
4896,12,In-Degree
14073,1,In-Degree
1134,6,In-Degree
2125,10,In-Degree
45080,6,In-Degree
5539,3,In-Degree
46072,2,In-Degree
2457,3,In-Degree
2462,12,In-Degree
2029,9,In-Degree
5677,16,In-Degree
6600,5,In-Degree
34591,7,In-Degree
937,6,In-Degree
3734,7,In-Degree
2619,12,In-Degree
1826,8,In-Degree
6450,1,In-Degree
3183,8,In-Degree
441,15,In-Degree
631,1,In-Degree
873,4,In-Degree
8758,20,In-Degree
2671,10,In-Degree
4603,12,In-Degree
61339,1,In-Degree
16190,9,In-Degree
23580,12,In-Degree
37688,13,In-Degree
28178,7,In-Degree
599,9,In-Degree
10888,18,In-Degree
34636,1,In-Degree
12404,2,In-Degree
27245,1,In-Degree
32621,11,In-Degree
30131,1,In-Degree
5026,9,In-Degree
22403,5,In-Degree
57673,4,In-Degree
56822,4,In-Degree
60781,4,In-Degree
5585,9,In-Degree
26789,9,In-Degree
4159,8,In-Degree
5514,7,In-Degree
5138,2,In-Degree
40835,5,In-Degree
4482,10,In-Degree
49364,6,In-Degree
25444,8,In-Degree
25448,5,In-Degree
60393,11,In-Degree
75001,2,In-Degree
25449,6,In-Degree
64,8,In-Degree
373,5,In-Degree
4768,8,In-Degree
2687,10,In-Degree
6759,7,In-Degree
55229,10,In-Degree
6614,7,In-Degree
8621,4,In-Degree
238,6,In-Degree
61959,1,In-Degree
417,5,In-Degree
1416,9,In-Degree
855,5,In-Degree
995,7,In-Degree
6749,6,In-Degree
11967,3,In-Degree
918,10,In-Degree
34000,3,In-Degree
43532,12,In-Degree
765,18,In-Degree
25435,8,In-Degree
43794,1,In-Degree
6718,11,In-Degree
74931,1,In-Degree
84,7,In-Degree
22558,4,In-Degree
1014,3,In-Degree
18892,10,In-Degree
1280,5,In-Degree
52876,10,In-Degree
53,15,In-Degree
7263,4,In-Degree
24885,4,In-Degree
20610,1,In-Degree
69336,1,In-Degree
623,1,In-Degree
51828,6,In-Degree
510,13,In-Degree
4338,5,In-Degree
3037,13,In-Degree
13517,11,In-Degree
57378,10,In-Degree
15010,5,In-Degree
18642,15,In-Degree
22344,17,In-Degree
2444,3,In-Degree
4031,6,In-Degree
9215,1,In-Degree
1436,16,In-Degree
54342,1,In-Degree
2442,6,In-Degree
56946,1,In-Degree
77078,1,In-Degree
69752,12,In-Degree
40280,4,In-Degree
46903,12,In-Degree
31091,8,In-Degree
2797,18,In-Degree
5972,11,In-Degree
10883,7,In-Degree
11099,12,In-Degree
180,3,In-Degree
124,8,In-Degree
512,6,In-Degree
7160,15,In-Degree
43882,13,In-Degree
1402,18,In-Degree
3026,11,In-Degree
5572,20,In-Degree
222,15,In-Degree
18826,9,In-Degree
90,10,In-Degree
38208,7,In-Degree
32202,1,In-Degree
34853,13,In-Degree
43556,5,In-Degree
3793,8,In-Degree
8042,8,In-Degree
3945,8,In-Degree
30796,9,In-Degree
62518,3,In-Degree
63702,7,In-Degree
24015,9,In-Degree
81228,3,In-Degree
10301,11,In-Degree
37914,15,In-Degree
738,3,In-Degree
3558,14,In-Degree
10003,9,In-Degree
7316,10,In-Degree
210,6,In-Degree
17964,11,In-Degree
34781,5,In-Degree
2832,13,In-Degree
10790,11,In-Degree
2870,8,In-Degree
970,6,In-Degree
26069,4,In-Degree
2577,7,In-Degree
1099,7,In-Degree
7146,10,In-Degree
3631,4,In-Degree
3551,8,In-Degree
